"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"60"," Panama","13.6","12.4","12.4","12.1","12.1","11.5 eeee"
"154"," Papua New Guinea","28.5","25.2","25.2","26.5","26.5","26.5 eeee"
"110"," Paraguay","19.9","17.8","17.8","19.2","19.2","18.3 eeee"
"87"," Peru","16.5","14.8","14.8","13.9","13.9","14.2 eeee"
"116"," Philippines","15.0","15.2","15.2","15.2","15.2","16.2 eeee"
"36"," Poland","6.4","5.8","5.8","5.7","5.7","5.2 eeee"
"41"," Portugal","4.8","4.9","4.9","3.9","3.9","3.9 eeee"
"33"," Qatar","7.4","7.2","7.2","6.0","6.0","6.1 eeee"
"50"," Romania","10.9","9.6","9.6","8.8","8.8","8.4 eeee"
"49"," Russian Federation","11.5","10.8","10.8","9.8","9.8","8.8 eeee"
"159"," Rwanda","47.4","41.3","41.3","30.2","30.2","29.8 eeee"
"92"," Saint Lucia","","10.4","10.4","9.9","9.9","10.1 eeee"
"99"," Saint Vincent and the Grenadines","","14.0","14.0","12.9","13.0","12.7 eeee"
"104"," Samoa","","13.4","13.4","13.3","13.3","13.3 eeee"
"142"," Sao Tome and Principe","34.4","28.8","28.8","26.9","26.9","26.9 eeee"
"38"," Saudi Arabia","12.7","11.5","11.5","8.7","8.7","11.0 eeee"
"162"," Senegal","37.4","30.7","30.7","29.5","29.5","25.0 eeee"
"66"," Serbia","9.0","8.3","8.3","8.5","8.5","7.9 eeee"
"63"," Seychelles","","","","7.9","7.9","9.0 eeee"
"179"," Sierra Leone","44.5","45.3","45.3","51.2","51.2","43.4 eeee"
"5"," Singapore","3.8","2.9","2.9","2.8","2.8","3.0 eeee"
"40"," Slovakia","6.5","5.7","5.7","5.6","5.6","5.3 eeee"
"25"," Slovenia","4.3","4.1","4.1","3.8","3.8","3.6 eeee"
"156"," Solomon Islands","25.2","20.7","20.7","22.3","22.3","22.3 eeee"
"0"," Somalia","","47.1","","42.1","42.1","42.1 eeee"
"119"," South Africa","30.2","28.4","28.4","25.7","25.7","25.7 eeee"
"181"," South Sudan","","","","40.8","40.8","40.7 eeee"
"27"," Spain","4.4","4.1","4.1","3.9","3.9","3.5 eeee"
