"HDI Rank (2015)","Country","2010","2011","2012","2013","2014","2015"
"41"," Portugal","23.9","19.3","20.8","19.9","20.3","20.4 qqq"
"50"," Romania","12.2","22.2","22.2","17.3","17.1","19.5 qqq"
"49"," Russian Federation","11.9","11.9","11.9","22.9","18.7","17.7 qqq"
"159"," Rwanda","31.5","34.5","30.2","39.6","35.2","36.4 qqq"
"92"," Saint Lucia","","","","","27.4","27.4 qqq"
"142"," Sao Tome and Principe","","44.2","44.2","44.2","25.8","25.8 qqq"
"162"," Senegal","21.1","23.9","21.6","22.7","27.7","27.7 qqq"
"66"," Serbia","12.2","10.3","10.3","13.5","13.5","17.4 qqq"
"179"," Sierra Leone","22.2","31.0","31.0","31.0","19.2","19.2 qqq"
"40"," Slovakia","11.7","9.6","11.3","11.5","11.3","11.4 qqq"
"25"," Slovenia","12.2","8.5","9.9","10.6","11.0","11.3 qqq"
"156"," Solomon Islands","","","","26.3","26.3","26.3 qqq"
"119"," South Africa","40.9","","","","57.3","56.4 qqq"
"27"," Spain","18.5","16.7","19.7","22.1","23.9","21.8 qqq"
"73"," Sri Lanka","20.8","20.8","20.8","19.6","13.7","13.7 qqq"
"97"," Suriname","34.9","34.9","32.8","37.3","37.3","37.3 qqq"
"148"," Swaziland","32.3","40.9","40.9","37.6","37.6","37.6 qqq"
"14"," Sweden","13.0","10.3","11.2","12.4","13.1","13.1 qqq"
"2"," Switzerland","14.3","14.3","14.3","13.2","12.3","15.7 qqq"
"149"," Syrian Arab Republic","18.3","18.3","18.3","18.3","18.3","18.3 qqq"
"129"," Tajikistan","15.3","15.3","15.0","15.0","15.0","15.0 qqq"
"151"," United Republic of Tanzania","17.6","20.6","20.9","20.9","22.7","22.7 qqq"
"87"," Thailand","34.0","34.0","34.0","34.0","34.0","34.0 qqq"
"82"," The former Yugoslav Republic of Macedonia","21.8","21.8","21.8","21.8","30.1","30.1 qqq"
"133"," Timor-Leste","19.2","17.8","17.8","17.8","17.8","17.8 qqq"
"166"," Togo","20.0","20.0","20.0","23.5","23.5","23.5 qqq"
"65"," Trinidad and Tobago","21.9","21.9","21.9","21.9","21.9","21.9 qqq"
"97"," Tunisia","21.8","21.8","","","18.9","18.9 qqq"
"71"," Turkey","26.5","26.5","26.5","21.8","21.8","21.8 qqq"
"111"," Turkmenistan","38.7","","","","",""
"163"," Uganda","26.4","29.1","29.1","27.3","27.3","27.3 qqq"
"84"," Ukraine","10.4","10.9","10.9","10.9","9.2","9.2 qqq"
"16"," United Kingdom","21.0","17.3","16.9","18.8","17.8","16.2 qqq"
"10"," United States","23.5","32.4","24.1","35.6","35.6","27.0 qqq"
"54"," Uruguay","26.3","27.8","27.9","27.1","24.2","26.2 qqq"
"105"," Uzbekistan","17.9","17.9","20.1","20.1","20.1","20.1 qqq"
"134"," Vanuatu","","","","18.5","18.5","18.5 qqq"
"71"," Venezuela (Bolivarian Republic of)","32.0","44.9","44.9","28.4","28.4","28.4 qqq"
"115"," Viet Nam","18.2","11.4","11.4","14.6","22.0","21.4 qqq"
"168"," Yemen","17.6","17.6","17.6","17.6","20.6","20.6 qqq"
"139"," Zambia","20.8","20.8","42.6","42.6","42.6","48.6 qqq"
"154"," Zimbabwe","34.5","34.5","35.8","35.8","35.8","35.8 qqq"
"qqq: Data refer to 2015 or the most recent year available."
